Date;ADS GY Equity;AI FP Equity;AIR FP Equity;ALV GY Equity;ABI BB Equity;ASML NA Equity;CS FP Equity;BBVA SM Equity;SAN SM  Equity;BAS GY Equity;BAYN GY Equity;BMW GY Equity;BNP FP Equity;CRH ID Equity;BN FP Equity;DB1 GY Equity;DHL GR EQUITY;DTE GY Equity;ENEL IM Equity;ENI IM Equity;EL FP Equity;RMS FP Equity;IBE SM Equity;ITX SM Equity;IFX GY Equity;INGA NA Equity;ISP IM Equity;KER FP Equity;AD NA Equity;OR FP Equity;MC FP Equity;MBG GY Equity;MUV2 GY Equity;NOKIA FH Equity;NDA FH Equity;RI FP Equity;SAF FP Equity;SAN FP Equity;SAP GY Equity;SU FP Equity;SIE GY Equity;TTE FP Equity;DG FP Equity;VOW3 GY Equity
08/06/2020;257,4;115,86;81,91;191,74;50,7;305,3;20,1;3,55;2,45;57,66;68,55;60,68;39,45;31,82;64,16;153,45;31,97;15,19;7,58;9,66;122,3;770;10,13;25,68;21,28;7,27;1,8;521,3;23,51;264,7;396,1;33,67;240,8;3,97;6,96;147,65;102;89,19;120,22;95,14;97,86;38,85;89,6;148,5
09/06/2020;251,3;114,73;75,67;187,42;48,88;309,4;19,41;3,41;2,4;56,23;67,26;59,41;38,16;31,76;64,02;153,7;31,3;15,19;7,54;9,38;121,35;765;10,15;26,17;20,87;6,98;1,72;525;23,64;266;395,3;32,71;236,4;3,9;6,84;146,7;97,18;89,97;120,68;95,16;96,8;37,7;87,34;145,56
10/06/2020;248,2;114,68;74,96;185,54;47,47;308;19,17;3,31;2,33;55,2;67,15;58,89;37,35;31,34;63,6;152,8;30,92;15,12;7,51;9,23;118,1;767;9,99;24,79;20,89;6,86;1,7;522;24,09;266,6;398,4;32,57;234,3;3,9;6,81;146,65;96,5;90,2;120,46;94,78;95,35;37,02;85,8;143,18
11/06/2020;234,3;112,68;67,06;178,22;43,85;300,4;18,17;3,1;2,11;51,51;64,15;55,62;34,75;29,54;61,86;150,6;29,25;14,71;7,33;8,58;112,85;744,6;9,68;24,41;19,67;6,28;1,62;487;23,44;264,7;375,1;29,65;226,7;3,71;6,41;142,35;88,96;88,74;116,38;90,78;89,71;34,73;82,2;132,42
12/06/2020;230,1;111,86;66,95;178,08;45,2;306;18,29;3,13;2,12;51,12;65,23;56,15;34,97;29,6;61,24;149,45;30,45;14,59;7,35;8,59;113,9;738,4;9,75;23,92;19,53;6,37;1,62;487,35;23,42;263,4;379,15;30,24;224,7;3,73;6,44;143,65;89,84;88,54;115,3;91,12;89,21;35,1;82,98;133,96
15/06/2020;230,8;112,27;68;176,92;44,22;303,65;18,3;3,06;2,06;51,01;65,25;55,95;34,3;29,94;60,9;149;30,06;14,69;7,36;8,58;112;731,4;9,71;24,76;19,3;6,28;1,63;480,5;23,07;260,9;371,45;29,95;225,4;3,75;6,32;140,4;91,9;88,71;114,36;91,54;88,21;34,69;83,5;136,36
16/06/2020;240,5;114,55;69,83;182,44;46,65;312,55;18,82;3,15;2,16;52,89;68,87;57,07;36,01;32,08;63,22;154,75;30,64;15,13;7,57;8,94;114,85;746,4;10,01;25,09;19,79;6,53;1,7;495,15;23,52;272,1;376,8;31,07;229,8;3,86;6,49;144,95;94,64;90,58;118,82;94,72;91,73;35,83;85,88;136,58
17/06/2020;241,4;115,82;69,75;182,78;46,14;321,85;18,9;3,16;2,15;53,01;69,03;57,26;35,96;31,94;63,34;155,95;31,03;15,3;7,51;8,9;115,95;754,4;10,02;24,75;20,13;6,55;1,7;507;23,8;276,2;379,15;31,06;227,1;3,93;6,42;144,1;97,5;93,2;120,24;95,64;92,67;35,95;85,92;134,14
18/06/2020;240,7;115,05;67,82;181,2;46,1;320,9;18,77;3,1;2,09;54,01;68,55;57,11;35,82;31,8;63,52;155,15;31,02;15,31;7,47;8,84;115,6;749;9,96;24,95;20,32;6,42;1,69;510;23,75;276,6;377,3;30,83;228,7;3,91;6,32;143,3;95,66;91,82;120,4;94,88;92,92;35,68;85,64;132,58
19/06/2020;237,6;116,45;68,86;181,4;45,82;327,2;18,48;3,11;2,06;50,94;69,42;56,93;35,3;31,76;65,68;158,4;31,02;15,36;7,6;8,87;117,7;739,2;10,19;24,48;20,47;6,21;1,68;509,9;23,51;279,2;380,05;30,86;229;3,91;6,32;142,7;94,38;93,61;123,48;95,76;93,97;35,69;84,74;130,68
