Date;EUR006M Index
09/10/2020;-0,486
12/10/2020;-0,485
13/10/2020;-0,483
14/10/2020;-0,493
15/10/2020;-0,497
16/10/2020;-0,498
19/10/2020;-0,497
20/10/2020;-0,498
21/10/2020;-0,498
22/10/2020;-0,498
23/10/2020;-0,496
26/10/2020;-0,496
27/10/2020;-0,507
28/10/2020;-0,505
29/10/2020;-0,515
30/10/2020;-0,521
02/11/2020;-0,513
03/11/2020;-0,513
04/11/2020;-0,515
05/11/2020;-0,511
06/11/2020;-0,512
09/11/2020;-0,511
10/11/2020;-0,505
11/11/2020;-0,507
12/11/2020;-0,504
13/11/2020;-0,503
16/11/2020;-0,505
17/11/2020;-0,508
18/11/2020;-0,513
19/11/2020;-0,512
20/11/2020;-0,509
23/11/2020;-0,509
24/11/2020;-0,51
25/11/2020;-0,508
26/11/2020;-0,506
27/11/2020;-0,507
30/11/2020;-0,508
01/12/2020;-0,508
02/12/2020;-0,508
03/12/2020;-0,51
04/12/2020;-0,512
07/12/2020;-0,513
08/12/2020;-0,518
09/12/2020;-0,524
10/12/2020;-0,523
11/12/2020;-0,52
14/12/2020;-0,522
15/12/2020;-0,52
16/12/2020;-0,525
17/12/2020;-0,518
18/12/2020;-0,52
21/12/2020;-0,518
22/12/2020;-0,522
23/12/2020;-0,521
24/12/2020;-0,519
28/12/2020;-0,52
29/12/2020;-0,523
30/12/2020;-0,52
31/12/2020;-0,526
04/01/2021;-0,532
05/01/2021;-0,524
06/01/2021;-0,53
07/01/2021;-0,524
08/01/2021;-0,53
11/01/2021;-0,523
12/01/2021;-0,53
13/01/2021;-0,527
14/01/2021;-0,533
15/01/2021;-0,532
18/01/2021;-0,533
19/01/2021;-0,528
20/01/2021;-0,532
21/01/2021;-0,527
22/01/2021;-0,525
25/01/2021;-0,521
26/01/2021;-0,528
27/01/2021;-0,526
28/01/2021;-0,534
29/01/2021;-0,531
01/02/2021;-0,528
02/02/2021;-0,526
03/02/2021;-0,521
04/02/2021;-0,525
05/02/2021;-0,519
08/02/2021;-0,521
09/02/2021;-0,523
10/02/2021;-0,522
11/02/2021;-0,521
12/02/2021;-0,522
15/02/2021;-0,521
16/02/2021;-0,52
17/02/2021;-0,521
18/02/2021;-0,518
19/02/2021;-0,517
22/02/2021;-0,516
23/02/2021;-0,517
24/02/2021;-0,518
25/02/2021;-0,518
26/02/2021;-0,516
01/03/2021;-0,508
02/03/2021;-0,516
03/03/2021;-0,517
04/03/2021;-0,518
05/03/2021;-0,514
08/03/2021;-0,515
09/03/2021;-0,518
10/03/2021;-0,52
11/03/2021;-0,518
12/03/2021;-0,514
15/03/2021;-0,515
16/03/2021;-0,52
17/03/2021;-0,52
18/03/2021;-0,519
19/03/2021;-0,515
22/03/2021;-0,518
23/03/2021;-0,518
24/03/2021;-0,516
25/03/2021;-0,514
26/03/2021;-0,514
29/03/2021;-0,513
30/03/2021;-0,519
31/03/2021;-0,509
01/04/2021;-0,512
06/04/2021;-0,517
07/04/2021;-0,517
08/04/2021;-0,518
09/04/2021;-0,522
12/04/2021;-0,517
13/04/2021;-0,523
14/04/2021;-0,509
15/04/2021;-0,512
16/04/2021;-0,511
19/04/2021;-0,513
20/04/2021;-0,513
21/04/2021;-0,513
22/04/2021;-0,515
23/04/2021;-0,515
26/04/2021;-0,514
27/04/2021;-0,518
28/04/2021;-0,518
29/04/2021;-0,518
30/04/2021;-0,521
03/05/2021;-0,518
04/05/2021;-0,516
05/05/2021;-0,515
06/05/2021;-0,513
07/05/2021;-0,514
10/05/2021;-0,513
11/05/2021;-0,513
12/05/2021;-0,513
13/05/2021;-0,515
14/05/2021;-0,513
17/05/2021;-0,515
18/05/2021;-0,515
19/05/2021;-0,515
20/05/2021;-0,517
21/05/2021;-0,513
24/05/2021;-0,509
25/05/2021;-0,505
26/05/2021;-0,507
27/05/2021;-0,509
28/05/2021;-0,512
31/05/2021;-0,513
01/06/2021;-0,517
02/06/2021;-0,516
03/06/2021;-0,517
04/06/2021;-0,513
07/06/2021;-0,513
08/06/2021;-0,516
09/06/2021;-0,518
10/06/2021;-0,519
11/06/2021;-0,521
14/06/2021;-0,522
15/06/2021;-0,522
16/06/2021;-0,519
17/06/2021;-0,513
18/06/2021;-0,513
21/06/2021;-0,511
22/06/2021;-0,508
23/06/2021;-0,509
24/06/2021;-0,508
25/06/2021;-0,513
28/06/2021;-0,513
29/06/2021;-0,513
30/06/2021;-0,515
01/07/2021;-0,513
02/07/2021;-0,512
05/07/2021;-0,513
06/07/2021;-0,513
07/07/2021;-0,511
08/07/2021;-0,515
09/07/2021;-0,514
12/07/2021;-0,511
13/07/2021;-0,513
14/07/2021;-0,513
15/07/2021;-0,513
16/07/2021;-0,515
19/07/2021;-0,515
20/07/2021;-0,518
21/07/2021;-0,513
22/07/2021;-0,517
23/07/2021;-0,519
26/07/2021;-0,519
27/07/2021;-0,523
28/07/2021;-0,524
29/07/2021;-0,524
30/07/2021;-0,523
02/08/2021;-0,523
03/08/2021;-0,525
04/08/2021;-0,531
05/08/2021;-0,527
06/08/2021;-0,524
09/08/2021;-0,527
10/08/2021;-0,528
